x,y,z
-49.20615790483657,-160.94609042857888,119.4
-49.20323418778934,-160.93652738101923,120.22
-49.20031047074212,-160.92696433345964,121.05
-49.19446303664766,-160.90783823834036,121.87
-49.18276816845875,-160.86958604810184,122.69
-49.171073300269846,-160.8313338578633,123.52
-49.15353099798648,-160.77395557250554,124.34
-49.13598869570311,-160.71657728714774,125.16
-49.11552267637253,-160.64963595423035,125.98
-49.092132939994706,-160.5731315737533,126.8
-49.06289576952243,-160.477501098157,127.62
-49.033658599050156,-160.3818706225607,128.44
-49.001497711530654,-160.27667709940476,129.26
-48.96641310696393,-160.1619205286892,130.08
-48.92840478534997,-160.037600910414,130.9
-48.887472746688786,-159.90371824457918,131.71
-48.84361699098038,-159.7602725311847,132.53
-48.79683751822474,-159.60726377023065,133.34
-48.74713432842187,-159.4446919617169,134.16
-48.694507421571785,-159.27255710564359,134.97
-48.63895679767447,-159.09085920201062,135.78
-48.58048245672991,-158.89959825081797,136.59
-48.51908439873814,-158.69877425206573,137.4
-48.45476262369913,-158.48838720575387,138.21
-48.38751713161291,-158.26843711188238,139.01
-48.32027163952668,-158.0484870180109,139.82
-48.247178713345996,-157.80941082902012,140.62
-48.17116207011808,-157.56077159246973,141.42
-48.092221709842946,-157.30256930835972,142.22
-48.013281349567805,-157.0443670242497,143.01
-47.928493555198216,-156.76703864502042,143.81
-47.84078204378139,-156.4801472182315,144.6
-47.753070532364575,-156.1932557914426,145.39
-47.65951158685329,-155.8872382695344,146.18
-47.565952641342015,-155.58122074762625,146.97
-47.46654626173628,-155.2560771305988,147.75
-47.36713988213055,-154.93093351357138,148.54
-47.26188606843037,-154.5866638014247,149.32
-47.156632254730184,-154.242394089278,150.09
-47.04845472398277,-153.88856132957167,150.87
-46.934429759140905,-153.5156024747461,151.64
-46.82040479429904,-153.1426436199205,152.41
-46.703456112409945,-152.7601217175353,153.18
-46.58065999642639,-152.35847372003082,153.94
-46.45786388044285,-151.95682572252636,154.7
-46.33214404741207,-151.54561467746225,155.46
-46.20350049733407,-151.1248405848385,156.22
-46.071933230208835,-150.69450344465514,156.97
-45.937442246036376,-150.25460325691216,157.72
-45.797103827769455,-149.79557697404988,158.47
-45.65676540950255,-149.33655069118763,159.21
-45.5135032741884,-148.86796136076572,159.95
-45.36731742182703,-148.38980898278422,160.69
-45.218207852418445,-147.90209355724306,161.42
-45.06617456596262,-147.40481508414229,162.15
-44.911217562459576,-146.8979735634819,162.87
-44.75626055895652,-146.39113204282148,163.6
-44.595456121359014,-145.8651644270418,164.31
-44.431727966714284,-145.3296337637025,165.03
-44.26507609502232,-144.78454005280358,165.74
-44.09550050628313,-144.229883294345,166.45
-43.92592491754395,-143.67522653588648,167.15
-43.750501894710304,-143.10144368230863,167.85
-43.57215515482944,-142.51809778117118,168.54
-43.390884697901335,-141.9251888324741,169.23
-43.20961424097324,-141.332279883777,169.92
-43.02249634995069,-140.72024483996069,170.6
-42.83537845892814,-140.10820979614434,171.28
-42.64241313381113,-139.47704865720874,171.95
-42.449447808694124,-138.84588751827312,172.62
-42.25063504948266,-138.19560028421824,173.28
