timestamp, bead_x, bead_y, bead_z
0.000000,-0.000438,0.001853,0.121199 
0.000000,-0.000411,0.002332,0.120774 
0.000000,-0.000227,0.002316,0.120766 
0.000000,-0.000522,0.001868,0.121198 
0.015625,-0.000310,0.002369,0.120770 
0.015625,-0.000386,0.001931,0.121365 
0.015625,-0.000462,0.002329,0.121338 
0.015625,-0.000348,0.001946,0.122361 
0.031250,-0.000411,0.001580,0.123162 
0.031250,-0.000406,0.001661,0.124190 
0.031250,-0.000205,0.002075,0.124929 
0.046875,-0.000563,0.002134,0.126740 
0.046875,-0.000189,0.002466,0.127967 
0.046875,-0.000181,0.002375,0.129829 
0.046875,-0.000465,0.003481,0.131567 
0.062500,-0.000037,0.003348,0.133798 
0.062500,-0.000207,0.003880,0.136259 
0.062500,-0.000256,0.005494,0.138258 
0.062500,0.000196,0.005609,0.140524 
0.078125,-0.000037,0.007277,0.142961 
0.078125,0.000222,0.008574,0.145541 
0.078125,0.000273,0.009392,0.147344 
0.078125,0.000383,0.012119,0.149012 
0.093750,0.000672,0.013611,0.150522 
0.093750,0.000336,0.014734,0.151779 
0.093750,0.000538,0.017619,0.152420 
0.109375,0.000814,0.019048,0.152508 
0.109375,0.000460,0.019963,0.152018 
0.109375,0.000698,0.022135,0.150698 
0.109375,0.000822,0.022445,0.148724 
0.125000,0.000695,0.022092,0.146175 
0.125000,0.000633,0.022479,0.142787 
0.125000,0.000708,0.020435,0.139087 
0.125000,0.000419,0.017937,0.134964 
0.140625,0.000271,0.014754,0.130466 
0.140625,0.000019,0.009680,0.126144 
0.140625,-0.000227,0.004423,0.122580 
0.140625,-0.000252,-0.001111,0.119252 
0.156250,-0.000575,-0.008461,0.116622 
0.156250,-0.000666,-0.015415,0.115026 
0.156250,-0.000724,-0.021434,0.114939 
0.171875,-0.001055,-0.026723,0.116113 
0.171875,-0.001203,-0.031205,0.117936 
0.171875,-0.001165,-0.033508,0.120286 
0.171875,-0.001231,-0.033771,0.122888 
0.187500,-0.001261,-0.031849,0.125416 
0.187500,-0.000978,-0.027463,0.127399 
0.187500,-0.000835,-0.020865,0.128366 
0.187500,-0.000616,-0.013028,0.126971 
0.203125,-0.000413,-0.004392,0.124294 
0.203125,-0.000094,0.004614,0.118876 
0.203125,0.000124,0.011838,0.112338 
0.203125,0.000404,0.017762,0.105129 
0.218750,0.000235,0.020760,0.098076 
0.218750,0.000169,0.021118,0.092593 
0.218750,0.000584,0.019322,0.089398 
0.234375,0.000123,0.015205,0.089373 
0.234375,-0.000004,0.010208,0.093379 
0.234375,-0.000089,0.005804,0.102027 
0.234375,-0.000314,0.003169,0.112699 
0.250000,0.000087,0.002927,0.124802 
0.250000,-0.000118,0.005316,0.136460 
0.250000,0.000090,0.009325,0.145748 
0.250000,0.000657,0.014655,0.151204 
0.265625,0.000508,0.018990,0.152243 
0.265625,0.000606,0.021711,0.148739 
0.265625,0.000844,0.021020,0.142128 
0.265625,0.000274,0.016610,0.133911 
0.281250,0.000051,0.009337,0.126043 
0.281250,-0.000200,-0.000704,0.120294 
0.281250,-0.000721,-0.010436,0.116291 
0.296875,-0.000621,-0.021060,0.115141 
0.296875,-0.000765,-0.028415,0.116243 
0.296875,-0.001428,-0.032022,0.119150 
0.296875,-0.001133,-0.033830,0.122905 
0.312500,-0.000790,-0.031056,0.126295 
0.312500,-0.001087,-0.023606,0.128148 
0.312500,-0.000652,-0.015426,0.127685 
0.312500,-0.000158,-0.005320,0.123840 
0.328125,-0.000226,0.005898,0.117880 
0.328125,0.000310,0.013597,0.110422 
0.328125,0.000561,0.018831,0.102247 
0.328125,0.000044,0.021464,0.094578 
0.343750,0.000451,0.019596,0.089385 
0.343750,0.000518,0.015899,0.088655 
0.343750,-0.000164,0.011173,0.092834 
0.359375,0.000097,0.006117,0.101564 
0.359375,-0.000063,0.003365,0.112689 
0.359375,-0.000158,0.003296,0.125072 
0.359375,0.000115,0.007009,0.139247 
0.375000,0.000417,0.012690,0.149413 
0.375000,0.000531,0.017180,0.152421 
0.375000,0.000656,0.020299,0.148841 
0.375000,0.000690,0.021853,0.141388 
0.390625,0.000326,0.016041,0.132424 
0.390625,-0.000086,0.004594,0.124358 
0.390625,-0.000213,-0.004925,0.117461 
0.390625,-0.000603,-0.016424,0.115041 
0.406250,-0.000766,-0.027907,0.116438 
0.406250,-0.001054,-0.032147,0.119400 
0.406250,-0.001360,-0.032916,0.123033 
0.421875,-0.000893,-0.030551,0.126288 
0.421875,-0.000740,-0.022297,0.127913 
0.421875,-0.000565,-0.010188,0.126143 
0.421875,-0.000073,0.000488,0.121128 
0.437500,0.000161,0.011308,0.112514 
0.437500,0.000371,0.019112,0.102879 
0.437500,0.000362,0.020731,0.094567 
0.437500,0.000236,0.018414,0.089381 
0.453125,0.000469,0.013658,0.089983 
0.453125,0.000014,0.008916,0.097503 
0.453125,-0.000400,0.004246,0.110768 
0.453125,0.000108,0.002741,0.125692 
0.468750,-0.000178,0.007135,0.139342 
0.468750,0.000358,0.012925,0.149281 
0.468750,0.000829,0.016513,0.152657 
0.484375,0.000402,0.020403,0.148695 
0.484375,0.000689,0.022104,0.141467 
0.484375,0.000523,0.015503,0.133026 
0.484375,-0.000144,0.004938,0.124165 
0.500000,-0.000235,-0.004535,0.117491 
0.500000,-0.000529,-0.016818,0.115350 
0.500000,-0.000907,-0.027798,0.116296 
0.500000,-0.001028,-0.031974,0.119349 
0.515625,-0.001181,-0.033059,0.123100 
0.515625,-0.001021,-0.030638,0.126416 
0.515625,-0.000723,-0.022128,0.127991 
0.515625,-0.000563,-0.010502,0.126529 
0.531250,-0.000195,0.000362,0.121069 
0.531250,0.000255,0.011535,0.112505 
0.531250,0.000460,0.019045,0.102973 
0.546875,0.000261,0.020632,0.094656 
0.546875,0.000339,0.018567,0.089433 
0.546875,0.000486,0.013608,0.089946 
0.546875,-0.000115,0.008980,0.097398 
0.562500,-0.000141,0.004804,0.110235 
0.562500,0.000153,0.003034,0.125247 
0.562500,-0.000224,0.007156,0.139310 
0.562500,0.000485,0.013053,0.149232 
0.578125,0.000835,0.016737,0.152226 
0.578125,0.000362,0.020412,0.148687 
0.578125,0.000808,0.022213,0.141481 
0.578125,0.000574,0.015827,0.132673 
0.593750,-0.000170,0.005010,0.124232 
0.593750,-0.000113,-0.004373,0.117512 
0.593750,-0.000567,-0.016705,0.115345 
0.609375,-0.000948,-0.027851,0.116280 
0.609375,-0.000982,-0.031971,0.119320 
0.609375,-0.001219,-0.033046,0.123101 
0.609375,-0.001078,-0.030700,0.126441 
0.625000,-0.000687,-0.022168,0.128021 
0.625000,-0.000578,-0.010483,0.126530 
