x,y,z
-71.22976576006053,-118.54623768710213,119.4
-71.22976576006053,-118.54623768710213,120.23
-71.22461537931142,-118.5376660140951,121.05
-71.21946499856232,-118.52909434108808,121.88
-71.20916423706412,-118.51195099507403,122.7
-71.19886347556591,-118.49480764906001,123.53
-71.18341233331861,-118.46909263003894,124.35
-71.16796119107131,-118.44337761101788,125.18
-71.1473596680749,-118.40909091898978,126.0
-71.12675814507851,-118.37480422696169,126.82
-71.10100624133301,-118.3319458619266,127.65
-71.07525433758751,-118.28908749689148,128.47
-71.049502433842,-118.24622913185637,129.3
-71.01860014934739,-118.19479909381424,130.12
-70.98254748410369,-118.1347973827651,130.94
-70.94649481885999,-118.07479567171596,131.77
-70.90529177286717,-118.00622228765978,132.59
-70.86408872687439,-117.93764890360363,133.41
-70.82288568088157,-117.86907551954745,134.23
-70.77653225413967,-117.79193046248425,135.05
-70.72502844664866,-117.70621373241404,135.88
-70.67352463915766,-117.62049700234384,136.7
-70.61687045091756,-117.52620859926662,137.52
-70.56021626267744,-117.43192019618938,138.34
-70.50356207443734,-117.33763179311212,139.15
-70.44175750544814,-117.2347717170279,139.97
-70.37995293645893,-117.13191164094364,140.79
-70.31299798672063,-117.02047989185237,141.61
-70.24089265623321,-116.90047646975407,142.43
-70.16878732574581,-116.78047304765578,143.24
-70.0966819952584,-116.66046962555747,144.06
-70.01942628402189,-116.53189453045215,144.87
-69.93702019203629,-116.39474776233982,145.69
-69.85461410005067,-116.25760099422747,146.5
-69.77220800806506,-116.12045422611514,147.31
-69.68465153533036,-115.97473578499579,148.13
-69.59709506259564,-115.82901734387642,148.94
-69.50438820911184,-115.67472722975003,149.75
-69.41168135562803,-115.52043711562368,150.56
-69.31382412139513,-115.35757532849027,151.37
-69.21081650641311,-115.18614186834984,152.17
-69.11295927218019,-115.02328008121644,152.98
-69.00480127644909,-114.84327494806898,153.79
-68.90179366146708,-114.67184148792857,154.59
-68.78848528498686,-114.48326468177412,155.4
-68.67517690850666,-114.29468787561964,156.2
-68.56186853202644,-114.10611106946519,157.0
-68.44340977479712,-113.90896259030369,157.81
-68.32495101756781,-113.7118141111422,158.61
-68.20134187958939,-113.5060939589737,159.41
-68.07773274161099,-113.3003738068052,160.2
-67.95412360363257,-113.09465365463669,161.0
-67.82021370415596,-112.87179015645414,161.8
-67.69145418542846,-112.65749833127862,162.59
-67.55239390520273,-112.42606316008903,163.39
-67.41848400572611,-112.2031996619065,164.18
-67.27942372550041,-111.97176449071692,164.97
-67.13521306452559,-111.73175764652032,165.76
-66.99100240355077,-111.49175080232374,166.55
-66.84164136182686,-111.24317228512012,167.34
-66.69228032010295,-110.99459376791651,168.12
-66.53776889762992,-110.73744357770587,168.91
-66.3832574751569,-110.48029338749524,169.69
-66.22874605268389,-110.22314319728461,170.47
-66.06908424946178,-109.95742133406695,171.25
-65.90427206549056,-109.68312779784227,172.03
-65.73945988151934,-109.4088342616176,172.81
-65.57464769754812,-109.13454072539292,173.59
-65.40468513282781,-108.85167551616122,174.36
-65.22957218735839,-108.56023863392252,175.13
-65.05445924188896,-108.2688017516838,175.91
-64.87419591567044,-107.96879319643806,176.68
-64.69393258945193,-107.66878464119232,177.44
-64.51366926323341,-107.36877608594658,178.21
-64.32825555626579,-107.06019585769383,178.98
-64.14284184929818,-106.75161562944106,179.74
-63.952277761581456,-106.43446372818127,180.5
-63.75656329311563,-106.10874015391448,181.26
-63.56084882464981,-105.78301657964766,182.02
-63.365134356183994,-105.45729300538086,182.78
-63.16426950696907,-105.12299775810705,183.53
-62.95825427700505,-104.78013083782619,184.29
-62.75738942779012,-104.44583559055236,185.04
-62.546223817077,-104.09439699726451,185.79
-62.33505820636388,-103.74295840397664,186.53
-62.12389259565076,-103.39151981068878,187.28
-61.907576604188534,-103.0315095443939,188.02
-61.69126061272632,-102.671499278099,188.76
-61.469794240514986,-102.30291733879709,189.5
-61.24832786830367,-101.93433539949518,190.24
-61.021711115343244,-101.55718178718627,190.98
-60.78994398163372,-101.17145650187031,191.71
-60.563327228673295,-100.79430288956138,192.44
-60.32640971421467,-100.4000059312384,193.17
-60.09464258050515,-100.01428064592245,193.9
-59.85257468529742,-99.61141201459246,194.62
-59.610506790089694,-99.20854338326247,195.34
-59.36843889488197,-98.80567475193247,196.06
-59.12122061892514,-98.39423444759547,196.78
-58.87400234296832,-97.98279414325845,197.5
-58.62678406701149,-97.57135383892144,198.21
-58.374415410305566,-97.15134186157741,198.92
-58.12204675359963,-96.73132988423336,199.63
-57.86452771614461,-96.3027462338823,200.33
-57.60700867868958,-95.87416258353124,201.04
-57.344339260485455,-95.43700726017317,201.74
-57.08166984228133,-94.99985193681509,202.43
-56.8138500433281,-94.55412494045,203.13
-56.546030244374876,-94.1083979440849,203.82
-56.27306006467254,-93.65409927471279,204.51
-56.000089884970215,-93.19980060534067,205.2
-55.72711970526789,-92.74550193596855,205.88
-55.448999144816455,-92.2826315935894,206.57
-55.16572820361593,-91.81118957820324,207.25
-54.88245726241539,-91.33974756281708,207.92
-54.599186321214866,-90.86830554743092,208.59
-54.31076499926524,-90.38829185903774,209.27
-54.022343677315604,-89.90827817064455,209.93
-53.72877197461687,-89.41969280924434,210.6
-53.43520027191814,-88.93110744784414,211.26
-53.141628569219414,-88.44252208644394,211.92
-52.84290648577158,-87.9453650520367,212.57
-52.53903402157465,-87.43963634462247,213.22
-52.235161557377715,-86.93390763720822,213.87
-51.93128909318078,-86.42817892979397,214.52
-51.62226624823475,-85.91387854937271,215.16
-51.31169828906398,-85.39700666704933,215.8
-50.99907017759358,-84.87670611552315,216.43
-50.683866875748635,-84.35211972749346,217.07
-50.36711845967895,-83.82496183756166,217.7
-50.04779485323471,-83.29351811112635,218.32
-49.72641109449084,-82.75864571548824,218.94
-49.40296718344733,-82.2203446506473,219.56
-49.07694808202926,-81.67775774930287,220.18
-48.74886882831156,-81.13174217875562,220.79
-48.41872942229421,-80.58229793900557,221.39
-48.086529863977226,-80.0294250300527,222.0
-47.7517551152857,-79.47226628459634,222.6
-47.41543525236943,-78.91253603723786,223.19
-47.07654019907861,-78.34851995337586,223.79
-46.73610003156306,-77.78193236761176,224.38
-46.393084673672966,-77.21105894534416,224.96
-46.04800916348323,-76.63675685387375,225.54
-45.70087350099386,-76.05902609320053,226.12
-45.352192724279746,-75.47872383062519,226.69
