x,y,z
-134.75537995979803,-31.110730815756536,119.4
-134.75537995979803,-31.110730815756536,120.23
-134.7456362591502,-31.108481305213093,121.05
-134.73589255850234,-31.106231794669657,121.88
-134.71640515720662,-31.10173277358278,122.7
-134.69691775591093,-31.097233752495903,123.53
-134.66768665396737,-31.090485220865588,124.35
-134.6384555520238,-31.08373668923527,125.18
-134.5994807494324,-31.074738647061512,126.0
-134.56050594684098,-31.06574060488776,126.82
-134.51178744360175,-31.05449305217057,127.65
-134.46306894036246,-31.043245499453374,128.47
-134.4143504371232,-31.03199794673618,129.3
-134.35588823323607,-31.018500883475546,130.12
-134.28768232870112,-31.002754309671477,130.94
-134.21947642416615,-30.987007735867408,131.77
-134.14152681898332,-30.969011651519896,132.59
-134.06357721380053,-30.95101556717239,133.41
-133.98562760861768,-30.93301948282488,134.23
-133.897934302787,-30.91277388793393,135.05
-133.8004972963085,-30.890278782499543,135.88
-133.70306028982998,-30.86778367706516,136.7
-133.59587958270362,-30.84303906108734,137.52
-133.48869887557723,-30.818294445109508,138.34
-133.38151816845084,-30.79354982913168,139.15
-133.26459376067663,-30.76655570261042,139.97
-133.1476693529024,-30.73956157608916,140.79
-133.02100124448032,-30.710317939024456,141.61
-132.8845894354104,-30.67882479141631,142.43
-132.74817762634046,-30.647331643808172,143.24
-132.6117658172705,-30.61583849620003,144.06
-132.4656103075527,-30.58209583804845,144.87
-132.3097110971871,-30.546103669353432,145.69
-132.15381188682144,-30.510111500658414,146.5
-131.99791267645583,-30.474119331963397,147.31
-131.83226976544233,-30.43587765272494,148.13
-131.66662685442884,-30.39763597348648,148.94
-131.49124024276747,-30.357144783704584,149.75
-131.31585363110617,-30.31665359392269,150.56
-131.13072331879698,-30.27391289359736,151.37
-130.9358493058399,-30.22892268272858,152.17
-130.7507189935307,-30.186181982403248,152.98
-130.5461012799258,-30.138942260991033,153.79
-130.35122726696878,-30.093952050122265,154.59
-130.13686585271603,-30.044462818166615,155.4
-129.92250443846328,-29.994973586210964,156.2
-129.70814302421053,-29.945484354255314,157.0
-129.4840379093099,-29.89374561175622,157.81
-129.2599327944093,-29.842006869257133,158.61
-129.02608397886084,-29.788018616214604,159.41
-128.7922351633124,-29.73403036317208,160.2
-128.55838634776393,-29.680042110129552,161.0
-128.3050501309198,-29.62155483600015,161.8
-128.06145761472348,-29.56531707241418,162.59
-127.79837769723144,-29.504580287741337,163.39
-127.5450414803873,-29.446093013611932,164.18
-127.28196156289528,-29.385356228939088,164.97
-127.00913794475541,-29.322369933722804,165.76
-126.73631432661554,-29.259383638506524,166.55
-126.45374700782783,-29.194147832746804,167.34
-126.17117968904012,-29.128912026987084,168.12
-125.87886866960454,-29.06142671068392,168.91
-125.58655765016896,-28.993941394380762,169.69
-125.2942466307334,-28.926456078077607,170.47
-124.99219191064998,-28.856721251231008,171.25
-124.6803934899187,-28.78473691384097,172.03
