x,y,z
0.0,0.0,162.53
-0.06449,0.0,162.54
-0.12938,0.0,162.57
-0.19493,0.0,162.61
-0.26137,0.0,162.67
-0.32893,0.0,162.76
-0.39782,0.0,162.85
-0.46828,0.0,162.97
-0.54052,0.0,163.11
-0.61474,0.0,163.26
-0.69117,0.0,163.43
-0.77001,0.0,163.61
-0.85144,0.0,163.82
-0.93567,0.0,164.04
-1.0229,0.0,164.27
-1.1132,0.0,164.53
-1.2069,0.0,164.8
-1.3041,0.0,165.08
-1.4049,0.0,165.39
-1.5095,0.0,165.7
-1.6181,0.0,166.04
-1.7308,0.0,166.39
-1.8477,0.0,166.75
-1.9691,0.0,167.13
-2.095,0.0,167.52
-2.2258,0.0,167.93
-2.3615,0.0,168.35
-2.5024,0.0,168.79
-2.6487,0.0,169.24
-2.8006,0.0,169.7
-2.9584,0.0,170.17
-3.1223,0.0,170.66
-3.2927,0.0,171.16
-3.4697,0.0,171.67
-3.6536,0.0,172.19
-3.8448,0.0,172.72
-4.0435,0.0,173.26
-4.2499,0.0,173.82
-4.4644,0.0,174.38
-4.6871,0.0,174.95
-4.9183,0.0,175.54
-5.1583,0.0,176.13
-5.4071,0.0,176.73
-5.6651,0.0,177.34
-5.9324,0.0,177.95
-6.1801,0.0,178.56
-6.4382,0.0,179.19
-6.7114,0.0,179.81
-6.9985,0.0,180.45
-7.299,0.0,181.09
-7.6123,0.0,181.74
-7.938,0.0,182.39
-8.2757,0.0,183.05
-8.6253,0.0,183.71
-8.9865,0.0,184.38
-9.3592,0.0,185.05
-9.7432,0.0,185.71
-10.139,0.0,186.39
-10.545,0.0,187.06
-10.963,0.0,187.73
-11.391,0.0,188.41
-11.831,0.0,189.08
-12.282,0.0,189.76
-12.743,0.0,190.43
-13.216,0.0,191.1
-13.699,0.0,191.78
-14.193,0.0,192.45
-14.699,0.0,193.12
-15.215,0.0,193.78
-15.741,0.0,194.45
-16.279,0.0,195.11
-16.827,0.0,195.77
-17.387,0.0,196.42
-17.957,0.0,197.08
-18.538,0.0,197.72
-19.13,0.0,198.37
-19.732,0.0,199.01
-20.346,0.0,199.64
-20.97,0.0,200.27
-21.606,0.0,200.9
-22.252,0.0,201.52
-22.909,0.0,202.13
-23.577,0.0,202.74
-24.256,0.0,203.34
-24.947,0.0,203.94
-25.648,0.0,204.53
-26.36,0.0,205.11
-27.084,0.0,205.69
-27.818,0.0,206.25
-28.549,0.0,206.81
-29.279,0.0,207.36
-30.019,0.0,207.9
-30.767,0.0,208.44
-31.524,0.0,208.96
-32.289,0.0,209.48
-33.063,0.0,209.99
-33.844,0.0,210.49
-34.634,0.0,210.97
-35.431,0.0,211.45
-36.236,0.0,211.92
-37.048,0.0,212.38
-37.867,0.0,212.83
-38.694,0.0,213.26
-39.527,0.0,213.69
-40.367,0.0,214.1
-41.213,0.0,214.5
-42.066,0.0,214.89
-42.925,0.0,215.27
-43.791,0.0,215.64
-44.662,0.0,215.99
-45.539,0.0,216.33
-46.421,0.0,216.65
-47.309,0.0,216.97
-48.202,0.0,217.27
-49.101,0.0,217.55
-50.004,0.0,217.83
-50.912,0.0,218.08
-51.824,0.0,218.33
-52.741,0.0,218.56
-53.662,0.0,218.77
-54.587,0.0,218.98
-55.515,0.0,219.16
-56.447,0.0,219.33
-57.383,0.0,219.49
-58.321,0.0,219.63
-59.262,0.0,219.76
-60.205,0.0,219.87
-61.151,0.0,219.97
-62.099,0.0,220.05
-63.049,0.0,220.12
-64.0,0.0,220.17
-64.953,0.0,220.21
-65.906,0.0,220.23
-66.861,0.0,220.23
-67.816,0.0,220.22
-68.771,0.0,220.2
-69.726,0.0,220.16
-70.681,0.0,220.11
-71.635,0.0,220.04
-72.589,0.0,219.95
-73.542,0.0,219.85
-74.493,0.0,219.74
-75.443,0.0,219.61
-76.391,0.0,219.46
-77.337,0.0,219.3
-78.281,0.0,219.13
-79.222,0.0,218.94
-80.16,0.0,218.74
-81.095,0.0,218.52
-82.027,0.0,218.29
-82.956,0.0,218.05
-83.88,0.0,217.79
-84.801,0.0,217.52
-85.718,0.0,217.23
-86.63,0.0,216.94
-87.537,0.0,216.62
-88.439,0.0,216.3
-89.336,0.0,215.96
-90.228,0.0,215.61
-91.115,0.0,215.25
-91.995,0.0,214.88
-92.87,0.0,214.49
-93.739,0.0,214.09
-94.601,0.0,213.68
-95.456,0.0,213.26
-96.305,0.0,212.83
-97.148,0.0,212.38
-97.983,0.0,211.93
-98.81,0.0,211.47
-99.631,0.0,210.99
-100.44,0.0,210.51
-101.25,0.0,210.01
-102.05,0.0,209.51
-102.84,0.0,208.99
-103.62,0.0,208.47
-104.39,0.0,207.94
-105.15,0.0,207.4
-105.91,0.0,206.85
-106.66,0.0,206.29
-107.39,0.0,205.73
-108.12,0.0,205.15
-108.84,0.0,204.57
-109.56,0.0,203.99
-110.28,0.0,203.39
-110.99,0.0,202.79
-111.69,0.0,202.18
-112.38,0.0,201.56
-113.06,0.0,200.93
-113.73,0.0,200.3
-114.39,0.0,199.67
-115.03,0.0,199.03
-115.67,0.0,198.38
-116.29,0.0,197.72
-116.91,0.0,197.06
-117.51,0.0,196.4
-118.1,0.0,195.73
-118.68,0.0,195.05
-119.25,0.0,194.37
-119.81,0.0,193.69
-120.36,0.0,193.0
-120.9,0.0,192.3
-121.43,0.0,191.6
-121.95,0.0,190.9
-122.45,0.0,190.19
-122.95,0.0,189.48
-123.43,0.0,188.76
-123.91,0.0,188.04
-124.37,0.0,187.31
-124.83,0.0,186.59
-125.27,0.0,185.85
-125.7,0.0,185.12
-126.12,0.0,184.38
-126.53,0.0,183.63
-126.93,0.0,182.89
-127.32,0.0,182.14
-127.7,0.0,181.39
-128.07,0.0,180.63
-128.43,0.0,179.87
-128.77,0.0,179.11
-129.11,0.0,178.35
-129.44,0.0,177.58
-129.75,0.0,176.81
-130.06,0.0,176.04
-130.35,0.0,175.26
-130.63,0.0,174.48
-130.91,0.0,173.7
-131.17,0.0,172.92
-131.42,0.0,172.14
-131.66,0.0,171.35
-131.89,0.0,170.56
-132.11,0.0,169.77
-132.32,0.0,168.98
-132.52,0.0,168.19
-132.71,0.0,167.39
-132.89,0.0,166.59
-133.06,0.0,165.79
-133.21,0.0,164.99
-133.36,0.0,164.19
-133.49,0.0,163.39
-133.62,0.0,162.58
-133.73,0.0,161.77
-133.84,0.0,160.97
-133.93,0.0,160.16
-134.01,0.0,159.35
-134.09,0.0,158.53
-134.15,0.0,157.72
-134.2,0.0,156.91
-134.24,0.0,156.09
-134.27,0.0,155.27
-134.29,0.0,154.46
-134.3,0.0,153.64
-134.29,0.0,152.82
-134.28,0.0,152.0
-134.26,0.0,151.18
-134.23,0.0,150.35
-134.18,0.0,149.53
-134.13,0.0,148.71
-134.06,0.0,147.88
-133.99,0.0,147.06
-133.9,0.0,146.23
-133.81,0.0,145.41
-133.7,0.0,144.58
-133.58,0.0,143.75
-133.45,0.0,142.92
-133.31,0.0,142.1
-133.16,0.0,141.27
-133.0,0.0,140.44
-132.83,0.0,139.61
-132.65,0.0,138.78
-132.46,0.0,137.95
-132.26,0.0,137.11
-132.05,0.0,136.28
-131.82,0.0,135.45
-131.59,0.0,134.62
-131.35,0.0,133.79
-131.09,0.0,132.95
-130.83,0.0,132.12
-130.55,0.0,131.29
-130.27,0.0,130.45
-129.97,0.0,129.62
-129.66,0.0,128.78
-129.34,0.0,127.95
-129.02,0.0,127.11
-128.68,0.0,126.28
-128.33,0.0,125.44
-127.97,0.0,124.6
-127.6,0.0,123.77
-127.22,0.0,122.93
-126.82,0.0,122.09
-126.42,0.0,121.26
-126.01,0.0,120.42
-125.59,0.0,119.58
-125.15,0.0,118.74
-124.71,0.0,117.91
-124.26,0.0,117.07
-123.79,0.0,116.23
-123.31,0.0,115.39
-122.83,0.0,114.55
-122.33,0.0,113.71
-121.82,0.0,112.87
-121.31,0.0,112.02
-120.78,0.0,111.18
-120.24,0.0,110.34
-119.69,0.0,109.5
-119.13,0.0,108.65
-118.56,0.0,107.81
-117.98,0.0,106.96
-117.39,0.0,106.12
-116.79,0.0,105.27
-116.17,0.0,104.43
-115.55,0.0,103.58
-114.92,0.0,102.73
-114.27,0.0,101.88
-113.62,0.0,101.03
-112.95,0.0,100.18
-112.28,0.0,99.328
-111.59,0.0,98.475
-110.89,0.0,97.621
-110.19,0.0,96.766
-109.48,0.0,95.911
-108.77,0.0,95.058
-108.06,0.0,94.204
-107.33,0.0,93.348
-106.6,0.0,92.492
-105.85,0.0,91.634
-105.1,0.0,90.775
-104.34,0.0,89.916
-103.57,0.0,89.056
-102.79,0.0,88.195
-102.01,0.0,87.333
-101.21,0.0,86.471
-100.41,0.0,85.608
-99.596,0.0,84.744
-98.776,0.0,83.88
-97.948,0.0,83.015
-97.112,0.0,82.15
-96.269,0.0,81.285
-95.418,0.0,80.419
-94.56,0.0,79.553
-93.696,0.0,78.686
-92.824,0.0,77.82
-91.945,0.0,76.953
-91.061,0.0,76.086
-90.17,0.0,75.219
-89.273,0.0,74.352
-88.37,0.0,73.485
-87.462,0.0,72.618
-86.548,0.0,71.751
-85.629,0.0,70.884
-84.706,0.0,70.017
-83.777,0.0,69.15
-82.845,0.0,68.284
-81.908,0.0,67.417
-80.967,0.0,66.551
-80.023,0.0,65.686
-79.075,0.0,64.82
-78.125,0.0,63.955
-77.171,0.0,63.09
-76.215,0.0,62.226
-75.257,0.0,61.362
-74.296,0.0,60.498
-73.334,0.0,59.635
-72.371,0.0,58.773
-71.406,0.0,57.911
-70.44,0.0,57.05
-69.474,0.0,56.19
-68.507,0.0,55.33
-67.54,0.0,54.471
-66.574,0.0,53.612
-65.607,0.0,52.755
-64.642,0.0,51.898
-63.678,0.0,51.042
-62.715,0.0,50.187
-61.753,0.0,49.333
-60.794,0.0,48.48
-59.836,0.0,47.628
-58.881,0.0,46.777
-57.929,0.0,45.928
-56.98,0.0,45.079
-56.034,0.0,44.232
-55.091,0.0,43.386
-54.153,0.0,42.541
-53.218,0.0,41.698
-52.287,0.0,40.857
-51.362,0.0,40.016
-50.44,0.0,39.178
-49.524,0.0,38.341
-48.614,0.0,37.506
-47.708,0.0,36.672
-46.809,0.0,35.841
-45.916,0.0,35.011
-45.028,0.0,34.183
-44.148,0.0,33.358
-43.274,0.0,32.534
-42.406,0.0,31.713
-41.546,0.0,30.894
-40.693,0.0,30.077
-39.848,0.0,29.263
-39.01,0.0,28.451
-38.18,0.0,27.642
-37.358,0.0,26.836
-36.545,0.0,26.033
-35.739,0.0,25.232
-34.942,0.0,24.435
-34.154,0.0,23.64
-33.375,0.0,22.849
-32.604,0.0,22.061
-31.843,0.0,21.276
-31.091,0.0,20.494
-30.347,0.0,19.717
-29.614,0.0,18.943
-28.89,0.0,18.172
-28.17,0.0,17.405
-27.438,0.0,16.638
-26.717,0.0,15.874
-26.006,0.0,15.115
-25.306,0.0,14.36
-24.617,0.0,13.609
-23.938,0.0,12.862
-23.27,0.0,12.119
-22.612,0.0,11.38
-21.966,0.0,10.645
-21.33,0.0,9.9145
-20.704,0.0,9.188
-20.089,0.0,8.4656
-19.485,0.0,7.7475
-18.892,0.0,7.0336
-18.309,0.0,6.3241
-17.737,0.0,5.6189
-17.175,0.0,4.918
-16.624,0.0,4.2217
-16.084,0.0,3.5299
-15.555,0.0,2.8426
-15.036,0.0,2.1601
-14.528,0.0,1.4823
-14.031,0.0,0.80939
-13.545,0.0,0.1414
-13.069,0.0,-0.52155
-12.604,0.0,-1.1793
-12.15,0.0,-1.8318
-11.707,0.0,-2.479
-11.274,0.0,-3.1205
-10.853,0.0,-3.7564
-10.442,0.0,-4.3865
-10.043,0.0,-5.0105
-9.6544,0.0,-5.6284
-9.2771,0.0,-6.2398
-8.9111,0.0,-6.8446
-8.5564,0.0,-7.4427
-8.2131,0.0,-8.0336
-7.8815,0.0,-8.6171
-7.5618,0.0,-9.193
-7.2541,0.0,-9.7609
-6.9589,0.0,-10.32
-6.6765,0.0,-10.871
-6.4077,0.0,-11.413
-6.1531,0.0,-11.944
-5.9141,0.0,-12.465
-5.6638,0.0,-12.982
-5.3971,0.0,-13.496
-5.1385,0.0,-14.001
-4.8877,0.0,-14.495
-4.6449,0.0,-14.981
-4.4098,0.0,-15.456
-4.1824,0.0,-15.921
-3.9627,0.0,-16.377
-3.7506,0.0,-16.821
-3.5461,0.0,-17.255
-3.349,0.0,-17.678
-3.1593,0.0,-18.091
-2.977,0.0,-18.492
-2.8017,0.0,-18.881
-2.6336,0.0,-19.259
-2.4724,0.0,-19.626
-2.318,0.0,-19.98
-2.1702,0.0,-20.323
-2.029,0.0,-20.653
-1.894,0.0,-20.971
-1.7651,0.0,-21.277
-1.6422,0.0,-21.57
-1.525,0.0,-21.85
-1.4133,0.0,-22.118
-1.3069,0.0,-22.372
-1.2055,0.0,-22.614
-1.109,0.0,-22.842
-1.0169,0.0,-23.057
-0.92925,0.0,-23.259
-0.8456,0.0,-23.447
-0.76573,0.0,-23.621
-0.68937,0.0,-23.782
-0.61625,0.0,-23.929
-0.54609,0.0,-24.062
-0.47859,0.0,-24.182
-0.41348,0.0,-24.287
-0.35047,0.0,-24.378
-0.28925,0.0,-24.456
-0.22954,0.0,-24.519
-0.17104,0.0,-24.569
-0.11345,0.0,-24.604
-0.056464,0.0,-24.625
0.0002111,0.0,-24.632
0.056879,0.0,-24.625
0.11384,0.0,-24.604
0.1714,0.0,-24.569
0.22985,0.0,-24.519
0.28949,0.0,-24.456
0.35062,0.0,-24.378
0.41353,0.0,-24.287
0.47852,0.0,-24.181
0.54588,0.0,-24.062
0.61589,0.0,-23.929
0.68884,0.0,-23.782
0.765,0.0,-23.621
0.84465,0.0,-23.446
0.92805,0.0,-23.259
1.0155,0.0,-23.057
1.1072,0.0,-22.842
1.2034,0.0,-22.614
1.3045,0.0,-22.373
1.4105,0.0,-22.119
1.5218,0.0,-21.851
1.6385,0.0,-21.571
1.761,0.0,-21.278
1.8893,0.0,-20.973
2.0237,0.0,-20.655
2.1644,0.0,-20.325
2.3115,0.0,-19.983
2.4652,0.0,-19.629
2.6257,0.0,-19.263
2.793,0.0,-18.885
2.9674,0.0,-18.496
3.1489,0.0,-18.095
3.3377,0.0,-17.684
3.5338,0.0,-17.261
