x,y,z
0.0,0.0,145.43
-0.007623364350340536,-0.048132028213882246,145.44
-0.01526565727095094,-0.09638356671697651,145.45
-0.02294580733210108,-0.1448741257984948,145.48
-0.030684620317641305,-0.19373506800773624,145.51
-0.038498521846400846,-0.2430701006204634,145.56
-0.04640784839883492,-0.2930076231209535,145.61
-0.05443137211074837,-0.3436661581100781,145.68
-0.062587865117946,-0.3951642281887086,145.75
-0.07089609955623268,-0.4476203559577164,145.84
-0.07937484756141319,-0.5011530640179728,145.93
-0.088041316924642,-0.5558709980869434,146.03
-0.0969158441263743,-0.6119025576489057,146.14
-0.10601563695776453,-0.6693563884213247,146.27
-0.11535946755461754,-0.7283510130050724,146.4
-0.12496297936343731,-0.7889852002342078,146.54
-0.1348465088646791,-0.8513873495930087,146.69
-0.14502726384949735,-0.9156661067989402,146.85
-0.15552245210904644,-0.981930117569468,147.02
-0.1663524101237816,-1.0503077813888693,147.19
-0.1775218309276541,-1.1208287289073622,147.38
-0.18906669444762314,-1.1937201284432832,147.57
-0.20100264413019278,-1.2690807488306923,147.78
-0.21332967997536298,-1.3469105900695892,147.99
-0.2260790888761418,-1.427407189828093,148.21
-0.23928215772553732,-1.5107680857743226,148.44
-0.25292324307704545,-1.5968945090742186,148.67
-0.2670492752701783,-1.6860827662299596,148.92
-0.28166025430493585,-1.7783328572415453,149.17
-0.29678746707432624,-1.8738423197770953,149.43
-0.31243091357834935,-1.9726111538366091,149.69
-0.32863752415651726,-2.0749356659222653,149.97
-0.34540729880883003,-2.180815856034064,150.25
-0.36277152442829563,-2.290449261840124,150.54
-0.38073020101491417,-2.403835883340446,150.83
-0.3992989720151896,-2.5210744893690893,151.13
-0.41852476776863395,-2.642461386428231,151.44
-0.43842323172175135,-2.768095343351933,151.75
-0.4589787204280377,-2.897877591306134,152.07
-0.48025380767350906,-3.0322032056270722,152.4
-0.5022328500116616,-3.1709734174806896,152.73
-0.5249471343355031,-3.3143857645351034,153.06
-0.5484123040915377,-3.4625390156243743,153.4
-0.5726440027262696,-3.615531939582561,153.75
-0.5976578736862025,-3.7734633052437236,154.1
-0.6234852038643446,-3.9365306502759805,154.46
-0.6501259932606959,-4.104733974679332,154.82
