x,y,z
-44.8533405162669,-167.39494569589553,119.4
-44.8533405162669,-167.39494569589553,120.42
-44.85075232581587,-167.38528643763263,121.44
-44.84557594491382,-167.36596792110686,122.46
-44.84039956401177,-167.34664940458106,123.48
-44.83263499265869,-167.3176716297924,124.5
-44.82487042130561,-167.28869385500371,125.52
-44.81451765950152,-167.25005682195217,126.53
-44.80416489769742,-167.2114197889006,127.55
-44.79122394544229,-167.16312349758616,128.57
-44.77569480273613,-167.1051679480088,129.59
-44.76016566002998,-167.04721239843144,130.61
-44.74204832687281,-166.97959759059123,131.63
-44.721342803264605,-166.90232352448808,132.64
-44.700637279656405,-166.82504945838497,133.66
-44.679931756048205,-166.74777539228185,134.68
-44.65663804198898,-166.6608420679158,135.69
-44.63075613747873,-166.56424948528692,136.71
-44.60228604251745,-166.45799764439514,137.72
-44.57381594755617,-166.35174580350332,138.74
-44.5453458525949,-166.24549396261153,139.75
-44.51169937673156,-166.11992360519395,140.77
-44.480641091319264,-166.0040125060393,141.78
-44.44440642500491,-165.8687828903588,142.79
-44.40817175869056,-165.73355327467834,143.81
-44.36934890192518,-165.58866440073496,144.82
-44.3305260451598,-165.4437755267916,145.83
-44.2891149979434,-165.28922739458537,146.84
-44.247703950726994,-165.1346792623791,147.85
-44.203704713059565,-164.97047187190995,148.86
-44.157117284941116,-164.79660522317795,149.86
-44.11052985682266,-164.6227385744459,150.87
-44.06135423825318,-164.439212667451,151.88
-44.0121786196837,-164.25568676045606,152.88
-43.960414810663195,-164.06250159519823,153.89
-43.90606281119166,-163.85965717167753,154.89
-43.85171081172014,-163.65681274815682,155.9
-43.79477062179758,-163.44430906637325,156.9
-43.73783043187503,-163.23180538458965,157.9
-43.67830205150145,-163.00964244454315,158.9
-43.61877367112787,-162.78747950449667,159.9
-43.554068909852234,-162.5459980479244,160.89
-43.49195233902763,-162.31417584961503,161.89
-43.42465938730098,-162.06303513477985,162.89
-43.35736643557432,-161.8118944199447,163.88
-43.290073483847664,-161.56075370510953,164.87
-43.220192341669986,-161.29995373201152,165.87
-43.14772300904128,-161.02949450065057,166.86
-43.072665485961544,-160.74937601102673,167.85
-43.00019615333284,-160.47891677966578,168.84
-42.92255043980209,-160.18913903177906,169.82
-42.844904726271324,-159.89936128389235,170.81
-42.764670822289546,-159.59992427774273,171.79
-42.68443691830776,-159.3004872715931,172.78
-42.60161482387496,-158.99139100718062,173.76
-42.51620453899113,-158.67263548450524,174.74
-42.4307942541073,-158.35387996182985,175.72
-42.34538396922347,-158.03512443915446,176.69
-42.25479730343758,-157.69705039995327,177.67
-42.1642106376517,-157.3589763607521,178.64
-42.073623971865814,-157.02090232155092,179.62
-41.98044911562891,-156.67316902408686,180.59
-41.88468606894098,-156.31577646835993,181.56
-41.788923022253044,-155.95838391263297,182.52
-41.69057178511409,-155.5913320986431,183.49
-41.5896323575241,-155.21462102639038,184.45
-41.488692929934125,-154.83790995413764,185.42
-41.38775350234413,-154.46119888188488,186.38
-41.281637693852105,-154.06516929310638,187.33
-41.17552188536007,-153.66913970432788,188.29
-41.069406076868034,-153.27311011554934,189.25
-40.96070207792497,-152.8674212685079,190.2
-40.84940988853089,-152.45207316320364,191.15
-40.73811769913681,-152.03672505789933,192.1
-40.6242373192917,-151.61171769433216,193.05
-40.510356939446595,-151.18671033076495,193.99
-40.39130017869943,-150.74238445067198,194.94
-40.2748316084033,-150.3077178288419,195.88
-40.15577484765614,-149.86339194874893,196.82
-40.034129896457955,-149.40940681039308,197.75
-39.909896754808734,-148.9457624137743,198.69
-39.78566361315953,-148.48211801715556,199.62
-39.66143047151032,-148.0184736205368,200.55
-39.532020948959065,-147.5355107073923,201.48
-39.4026114264078,-147.05254779424774,202.4
-39.27320190385654,-146.56958488110322,203.33
-39.14120419085425,-146.07696270969578,204.25
-39.00661828740095,-145.5746812800255,205.17
-38.872032383947634,-145.07239985035514,206.08
-38.73485829004329,-144.56045916242195,207.0
-38.59768419613896,-144.04851847448873,207.91
-38.4579219117836,-143.52691852829264,208.82
-38.31557143697721,-142.99565932383365,209.72
-38.173220962170824,-142.4644001193747,210.63
-38.02828229691342,-141.9234816566528,211.53
-37.883343631656004,-141.3825631939309,212.43
-37.73581677594757,-140.83198547294614,213.32
-37.5857017297881,-140.27174849369848,214.22
-37.435586683628635,-139.71151151445082,215.11
-37.28288344701816,-139.14161527694029,216.0
-37.130180210407666,-138.57171903942972,216.88
-36.97488878334616,-137.9921635436563,217.76
-36.81700916583362,-137.40294878961996,218.64
-36.659129548321076,-136.8137340355836,219.52
-36.49866174035752,-136.21486002328442,220.39
-36.33819393239395,-135.61598601098518,221.26
-36.175137933979364,-135.00745274042308,222.13
-36.00949374511375,-134.38926021159804,222.99
-35.84384955624814,-133.77106768277307,223.86
-35.675617176931496,-133.14321589568516,224.71
-35.507384797614854,-132.51536410859725,225.57
-35.3365642278472,-131.87785306324648,226.42
-35.163155467628506,-131.23068275963283,227.27
-34.989746707409815,-130.58351245601912,228.12
-34.8137497567401,-129.92668289414254,228.96
-34.63775280607039,-129.269853332266,229.8
-34.459167664949646,-128.60336451212652,230.63
-34.27799433337788,-127.92721643372418,231.46
-34.09682100180612,-127.25106835532185,232.29
-33.91305947978333,-126.56526101865661,233.12
-33.72929795776054,-125.87945368199136,233.94
-33.54294824528672,-125.18398708706323,234.76
-33.35401034236188,-124.47886123387222,235.57
-33.16507243943704,-123.77373538068119,236.39
-32.97354634606118,-123.0589502692273,237.19
-32.782020252685314,-122.34416515777338,238.0
-32.58790596885842,-121.61972078805657,238.8
-32.39379168503153,-120.89527641833978,239.59
-32.19708921075362,-120.16117279036008,240.39
-32.0003867364757,-119.42706916238039,241.17
-31.80368426219778,-118.6929655344007,241.96
-31.601805407017814,-117.93954338989522,242.74
-31.402514742288876,-117.19578050365264,243.51
-31.198047696657884,-116.43269910088429,244.29
-30.993580651026893,-115.66961769811591,245.05
-30.789113605395897,-114.90653629534755,245.82
-30.58205836931388,-114.1337956343163,246.58
-30.37241494278084,-113.35139571502215,247.33
-30.1627715162478,-112.56899579572801,248.09
-29.95312808971476,-111.78659587643386,248.83
-29.738308282279668,-110.98487744061394,249.57
-29.526076665295598,-110.19281826305689,250.31
-29.308668667409478,-109.38144056897409,251.05
-29.091260669523365,-108.57006287489128,251.78
-28.873852671637245,-107.75868518080846,252.5
-28.6538564833001,-106.93764822846273,253.22
-28.433860294962958,-106.11661127611703,253.93
-28.21127591617479,-105.28591506550843,254.64
-27.986103346935597,-104.44555959663694,255.35
-27.760930777696405,-103.60520412776546,256.05
-27.53575820845721,-102.76484865889397,256.75
-27.307997448766994,-101.91483393175959,257.44
-27.07764849862575,-101.05515994636232,258.12
-26.847299548484507,-100.19548596096504,258.8
-26.616950598343262,-99.33581197556778,259.48
-26.384013457750992,-98.46647873190761,260.15
-26.148488126707697,-97.58748622998456,260.81
-25.912962795664406,-96.70849372806151,261.47
-25.676143369395596,-95.82467159700701,262.12
-25.438029847901277,-94.93601983682106,262.77
-25.198622231181446,-94.04253844750367,263.42
-24.958179338281205,-93.14519335488113,264.05
-24.716183531110346,-92.24205270730086,264.69
